2026-07-31 17:42:13,360 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:42:13,431 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:42:29,414 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:46:37,836 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:46:51,978 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:52:41,684 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:52:41,723 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:54:31,501 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:55:56,729 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:56:09,724 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:56:09,751 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 18:00:46,925 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 18:00:47,656 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-08-03 11:21:23,467 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
